Paired evolution matrix comparison
Baseline: v35-control-no-conversation (3 runs)
Candidate: v35d-grounded-conversation (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

10 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 11/10.33; C 9/9.33; paired Δ med/mean -2/-1 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 78/85; C 99/98.33; paired Δ med/mean +13/+13.33 (3 pairs)
  projectLogisticsFulfilled: B med/mean 75/81.67; C 94/95; paired Δ med/mean +14/+13.33 (3 pairs)
  projectLogisticsExhausted: B med/mean 1/2; C 2/2.33; paired Δ med/mean 0/+0.33 (3 pairs)
  projectSearchEpisodes: B med/mean 2/13; C 18/20; paired Δ med/mean +16/+7 (3 pairs)
  projectDropEpisodes: B med/mean 66/66; C 73/72.67; paired Δ med/mean +7/+6.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 267/289.67; C 439/421; paired Δ med/mean +191/+131.33 (3 pairs)
  jointProjectsCompleted: B med/mean 2/2.33; C 1/1.67; paired Δ med/mean -1/-0.67 (3 pairs)
  productionProjectsCompleted: B med/mean 2/4; C 3/3; paired Δ med/mean +1/-1 (3 pairs)
  constructionProjectsCompleted: B med/mean 10/8; C 5/6; paired Δ med/mean -1/-2 (3 pairs)
  totalStructures: B med/mean 16/13.67; C 11/11.67; paired Δ med/mean 0/-2 (3 pairs)
  completedStructures: B med/mean 3/3.67; C 3/3.67; paired Δ med/mean 0/0 (3 pairs)
  constructionPlacements: B med/mean 21/18.67; C 14/15.33; paired Δ med/mean 0/-3.33 (3 pairs)
  containersBuilt: B med/mean 0/2; C 0/0; paired Δ med/mean 0/-2 (3 pairs)
  standingContainers: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  containerTransfers: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  storedUnits: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  movementActions: B med/mean 1130/1195.33; C 1355/1338.33; paired Δ med/mean +165/+143 (3 pairs)
  movementActionShare: B med/mean 65.02/65.03; C 64/64.39; paired Δ med/mean -1.41/-0.64 (3 pairs)
  spearsCrafted: B med/mean 5/3.67; C 8/6.67; paired Δ med/mean +3/+3 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 0/2; C 1/1.33; paired Δ med/mean +1/-0.67 (3 pairs)
  recordsCreated: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  functionalInstitutions: B med/mean 1/1; C 1/1; paired Δ med/mean 0/0 (3 pairs)
  animalsHunted: B med/mean 3/4.33; C 4/4.33; paired Δ med/mean 0/0 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/0.67; C 0/1; paired Δ med/mean 0/+0.33 (3 pairs)
  predictionAccuracy: B med/mean 44.44/50.67; C 33.33/36.8; paired Δ med/mean -7.58/-13.87 (3 pairs)
  dehydrationHibernations: B med/mean 23/24; C 23/23.33; paired Δ med/mean 0/-0.67 (3 pairs)
  assistedDependentHibernations: B med/mean 2/3.67; C 3/3; paired Δ med/mean 0/-0.67 (3 pairs)
  throughMonth: B med/mean 120/120; C 120/120; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 8/7; C 6/5; paired Δ med/mean -2/-2 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 66/66; C 73/72.67; paired Δ med/mean +7/+6.67 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 62/61; C 69/69; paired Δ med/mean +7/+8 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 66/66; C 73/72.67; paired Δ med/mean +7/+6.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 70/68.67; C 75/72.33; paired Δ med/mean -3/+3.67 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 70/68.67; C 75/72.33; paired Δ med/mean -3/+3.67 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 70/68.67; C 75/72.33; paired Δ med/mean -3/+3.67 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 70/68.67; C 75/72.33; paired Δ med/mean -3/+3.67 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 19/20; C 20/20.33; paired Δ med/mean -1/+0.33 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 296/290; C 351/342; paired Δ med/mean +19/+52 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 296/290; C 351/342; paired Δ med/mean +19/+52 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 296/290; C 351/342; paired Δ med/mean +19/+52 (3 pairs)
  hypothesisCombineAttempts: B med/mean 57/51.67; C 56/55.33; paired Δ med/mean -6/+3.67 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 47/43.67; C 49/48.67; paired Δ med/mean -3/+5 (3 pairs)
  hypothesisCombineResponses: B med/mean 8/8; C 7/6.67; paired Δ med/mean -1/-1.33 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 1/2.67; C 1/1.33; paired Δ med/mean 0/-1.33 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 3/6; C 3/2; paired Δ med/mean 0/-4 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 1/2.67; C 1/1.33; paired Δ med/mean 0/-1.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 50/49; C 55/54; paired Δ med/mean -2/+5 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 185/174.33; C 192/199.33; paired Δ med/mean -5/+25 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 40/41; C 48/47.33; paired Δ med/mean +1/+6.33 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 8/8; C 7/6.67; paired Δ med/mean -1/-1.33 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 3/2; C 1/0.67; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 6/6.33; C 5/6.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertAttempts: B med/mean 9/9.67; C 14/12.33; paired Δ med/mean +2/+2.67 (3 pairs)
  hypothesisExertNoResponses: B med/mean 9/8; C 12/10.67; paired Δ med/mean +1/+2.67 (3 pairs)
  hypothesisExertResponses: B med/mean 1/1.67; C 2/1.67; paired Δ med/mean +1/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0.33; C 0/0.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 3/3.33; C 2/2.67; paired Δ med/mean -1/-0.67 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 12/12.33; C 15/13.67; paired Δ med/mean -1/+1.33 (3 pairs)
  hypothesisExposeAttempts: B med/mean 6/7.33; C 5/4.67; paired Δ med/mean -5/-2.67 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 4/5.33; C 4/3.33; paired Δ med/mean 0/-2 (3 pairs)
  hypothesisExposeResponses: B med/mean 0/2; C 1/1.33; paired Δ med/mean +1/-0.67 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 12/14.67; C 16/17; paired Δ med/mean +3/+2.33 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 7/5.33; C 3/2.67; paired Δ med/mean -4/-2.67 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 60/57; C 65/62.67; paired Δ med/mean -3/+5.67 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 9/9.33; C 7/8; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisResponses: B med/mean 10/11.67; C 10/9.67; paired Δ med/mean 0/-2 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 8/7.67; C 12/11.33; paired Δ med/mean +4/+3.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 72/71; C 119/113.33; paired Δ med/mean +47/+42.33 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 8/6.67; C 11/10; paired Δ med/mean +3/+3.33 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 0/1; C 1/1.33; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 2/2; C 1/1; paired Δ med/mean -1/-1 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 18/12; C 12/8; paired Δ med/mean -6/-4 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 1/1.33; C 1/0.67; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 1/0.67; C 0/0.33; paired Δ med/mean 0/-0.33 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 6/7.33; C 5/4.67; paired Δ med/mean -5/-2.67 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 29/26.67; C 25/19.33; paired Δ med/mean -4/-7.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 4/5.33; C 4/3.33; paired Δ med/mean 0/-2 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 0/2; C 1/1.33; paired Δ med/mean +1/-0.67 (3 pairs)
  hypothesisUniquePairs: B med/mean 53/47.33; C 50/50; paired Δ med/mean -4/+2.67 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 53/47.33; C 50/50; paired Δ med/mean -4/+2.67 (3 pairs)
  hypothesisUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
