Paired evolution matrix comparison
Baseline: v34-direct-teaching (3 runs)
Candidate: v35d-grounded-conversation (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: version-mismatch; Formula versions differ; civilization-index deltas are observer-only and cannot demonstrate an engine improvement.
  interruptFulfillmentChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenCompleted: B med/mean 5/5.33; C 8/7.33; paired Δ med/mean +3/+2 (3 pairs)
  interruptChildrenBlocked: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenFailed: B med/mean 2/2.33; C 0/0; paired Δ med/mean -2/-2.33 (3 pairs)
  interruptChildrenAbandoned: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsResumed: B med/mean 5/6.33; C 8/7.33; paired Δ med/mean +3/+1 (3 pairs)
  interruptReturnsParentCompleted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnsParentBlocked: B med/mean 2/1.33; C 0/0; paired Δ med/mean -2/-1.33 (3 pairs)
  interruptReturnsParentUnavailable: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptUnresolvedTerminalChildren: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptChildrenWithProjectId: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  orphanSuspendedProjectIntents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  interruptReturnLatencyMeanMonths: B med/mean 4.14/3.83; C 0/0.08; paired Δ med/mean -3.89/-3.75 (3 pairs)
  interruptReturnLatencyMaxMonths: B med/mean 13/9.67; C 0/0.33; paired Δ med/mean -13/-9.33 (3 pairs)
  interruptResumedParentsWithSubsequentAction: B med/mean 3/4.67; C 8/7.33; paired Δ med/mean +5/+2.67 (3 pairs)
  interruptResumedParentsWithoutSubsequentAction: B med/mean 2/1.67; C 0/0; paired Δ med/mean -2/-1.67 (3 pairs)
  interruptImmediateSameProjectReplacements: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completedActions: B med/mean 1384/1390.67; C 1558/1572; paired Δ med/mean +174/+181.33 (3 pairs)
  actionPersonMonths: B med/mean 568/555.33; C 555/564.33; paired Δ med/mean +14/+9 (3 pairs)
  projectActionPersonMonths: B med/mean 89/87.67; C 118/119; paired Δ med/mean +36/+31.33 (3 pairs)
  projectActionMonthShare: B med/mean 15.67/15.68; C 21.26/21.18; paired Δ med/mean +7.65/+5.5 (3 pairs)
  ruleDecisions: B med/mean 775/771.33; C 881/872.33; paired Δ med/mean +106/+101 (3 pairs)
  modelDecisions: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  inputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  outputTokens: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  strategicShare: B med/mean 79.1/78.48; C 68.74/71.99; paired Δ med/mean -4.56/-6.49 (3 pairs)
  strategicIntents: B med/mean 613/607; C 605/630; paired Δ med/mean +25/+23 (3 pairs)
  socialIntents: B med/mean 162/164.33; C 251/242.33; paired Δ med/mean +61/+78 (3 pairs)
  communications: B med/mean 142/158; C 216/211.33; paired Δ med/mean +75/+53.33 (3 pairs)
  survivalReflexActions: B med/mean 675/700.67; C 651/776; paired Δ med/mean +129/+75.33 (3 pairs)
  projectsStarted: B med/mean 37/37.33; C 42/42.67; paired Δ med/mean +4/+5.33 (3 pairs)
  projectsCompleted: B med/mean 18/18; C 14/13.33; paired Δ med/mean -4/-4.67 (3 pairs)
  projectsBlocked: B med/mean 18/18.33; C 28/27.67; paired Δ med/mean +9/+9.33 (3 pairs)
  projectPressureBasisProjects: B med/mean 37/37.33; C 42/42.67; paired Δ med/mean +4/+5.33 (3 pairs)
  projectPressureBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectPressureHistoryEntries: B med/mean 126/140.67; C 165/177; paired Δ med/mean +36/+36.33 (3 pairs)
  projectsWithPressureUpdates: B med/mean 28/28; C 34/34; paired Δ med/mean +6/+6 (3 pairs)
  projectPressureUpdates: B med/mean 89/103.33; C 123/134.33; paired Δ med/mean +32/+31 (3 pairs)
  projectPressureIncreases: B med/mean 10/14.33; C 23/22.67; paired Δ med/mean +7/+8.33 (3 pairs)
  projectPressureDecreases: B med/mean 32/29.33; C 34/33.33; paired Δ med/mean +2/+4 (3 pairs)
  projectPressureUnchangedUpdates: B med/mean 55/59.67; C 79/78.33; paired Δ med/mean +20/+18.67 (3 pairs)
  projectPressureDuplicateBasisEntries: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureCrossOwnerSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  huntingPressureNonThreatAnimalSources: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureChangesWithoutEdgeChange: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureObserverMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesThermalSafety: B med/mean 0/3; C 6/5; paired Δ med/mean 0/+2 (3 pairs)
  projectPressureUpdatesHuntingSafety: B med/mean 2/1.67; C 3/4.33; paired Δ med/mean +2/+2.67 (3 pairs)
  projectPressureUpdatesCareCapability: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectPressureUpdatesFoodPreparation: B med/mean 37/42; C 49/47; paired Δ med/mean -4/+5 (3 pairs)
  projectPressureUpdatesShelterCapacity: B med/mean 53/56.33; C 16/21.33; paired Δ med/mean -32/-35 (3 pairs)
  projectPressureUpdatesKnowledgePreservation: B med/mean 0/0.33; C 2/1.67; paired Δ med/mean +2/+1.33 (3 pairs)
  projectProgressEvidenceCount: B med/mean 576/634.33; C 1200/1138; paired Δ med/mean +713/+503.67 (3 pairs)
  projectProgressProjects: B med/mean 35/35.33; C 37/36.67; paired Δ med/mean 0/+1.33 (3 pairs)
  projectLogisticsAdvanceProgress: B med/mean 411/468.67; C 730/850.33; paired Δ med/mean +393/+381.67 (3 pairs)
  projectMaterialContributionProgress: B med/mean 165/165.67; C 195/287.67; paired Δ med/mean +15/+122 (3 pairs)
  projectProgressDuplicateEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressUnresolvedEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEpisodeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressIntentMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressNonAdvancingLogistics: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectProgressEventsAfterTermination: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectStagnationBlocksWithRecentProgress: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectTerminalMonthCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  projectsBlockedAfterLogisticsProgress: B med/mean 15/15; C 21/20.33; paired Δ med/mean +6/+5.33 (3 pairs)
  projectSearchCampaigns: B med/mean 6/6; C 12/11.33; paired Δ med/mean +3/+5.33 (3 pairs)
  projectsWithSearchCampaigns: B med/mean 6/5.33; C 10/9.67; paired Δ med/mean +2/+4.33 (3 pairs)
  searchCampaignActive: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignExhausted: B med/mean 1/1.67; C 4/3.67; paired Δ med/mean +1/+2 (3 pairs)
  searchCampaignSuperseded: B med/mean 0/0.33; C 0/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignClosed: B med/mean 5/4; C 7/7; paired Δ med/mean +1/+3 (3 pairs)
  searchCampaignAttemptedTargets: B med/mean 14/28.33; C 90/102.33; paired Δ med/mean +64/+74 (3 pairs)
  searchCampaignMaxTargets: B med/mean 7/16.33; C 47/47; paired Δ med/mean +32/+30.67 (3 pairs)
  searchCampaignEpisodeCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  searchEpisodesMissingCampaign: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignRepeatedTargets: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignDuplicateBasis: B med/mean 0/0; C 0/0.33; paired Δ med/mean 0/+0.33 (3 pairs)
  searchCampaignTargetOutsideArea: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignEpisodeTargetNotAttempted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignOwnerMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  searchCampaignUnresolvedSourceFacts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  projectLogisticsEpisodes: B med/mean 128/130.33; C 213/214; paired Δ med/mean +90/+83.67 (3 pairs)
  projectLogisticsFulfilled: B med/mean 118/122.33; C 207/207.67; paired Δ med/mean +89/+85.33 (3 pairs)
  projectLogisticsExhausted: B med/mean 5/4.33; C 5/4.67; paired Δ med/mean 0/+0.33 (3 pairs)
  projectSearchEpisodes: B med/mean 14/28.33; C 90/102.33; paired Δ med/mean +64/+74 (3 pairs)
  projectDropEpisodes: B med/mean 97/90.33; C 100/101; paired Δ med/mean +8/+10.67 (3 pairs)
  projectLogisticsActionEvents: B med/mean 515/562.67; C 848/956.67; paired Δ med/mean +418/+394 (3 pairs)
  jointProjectsCompleted: B med/mean 1/1; C 1/1.67; paired Δ med/mean +1/+0.67 (3 pairs)
  productionProjectsCompleted: B med/mean 8/7.67; C 5/4.67; paired Δ med/mean -3/-3 (3 pairs)
  constructionProjectsCompleted: B med/mean 10/10.33; C 10/8.67; paired Δ med/mean -3/-1.67 (3 pairs)
  totalStructures: B med/mean 20/20; C 17/16.67; paired Δ med/mean -6/-3.33 (3 pairs)
  completedStructures: B med/mean 6/6.33; C 5/4.67; paired Δ med/mean -2/-1.67 (3 pairs)
  constructionPlacements: B med/mean 28/27.67; C 23/22.33; paired Δ med/mean -9/-5.33 (3 pairs)
  containersBuilt: B med/mean 4/3.67; C 0/0; paired Δ med/mean -4/-3.67 (3 pairs)
  standingContainers: B med/mean 3/3.33; C 0/0; paired Δ med/mean -3/-3.33 (3 pairs)
  containerTransfers: B med/mean 60/53.33; C 0/0; paired Δ med/mean -60/-53.33 (3 pairs)
  storedUnits: B med/mean 6/12; C 0/0; paired Δ med/mean -6/-12 (3 pairs)
  movementActions: B med/mean 2493/2617; C 3296/3183; paired Δ med/mean +480/+566 (3 pairs)
  movementActionShare: B med/mean 69.81/68.48; C 71.23/70.44; paired Δ med/mean +1.24/+1.96 (3 pairs)
  spearsCrafted: B med/mean 11/10.33; C 12/11.33; paired Δ med/mean +4/+1 (3 pairs)
  leatherClothingCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  herbalMedicineCrafted: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  cookedFoodProduced: B med/mean 5/5.33; C 2/2; paired Δ med/mean -4/-3.33 (3 pairs)
  recordsCreated: B med/mean 2/1.67; C 1/1.33; paired Δ med/mean 0/-0.33 (3 pairs)
  functionalInstitutions: B med/mean 0/0; C 1/1; paired Δ med/mean +1/+1 (3 pairs)
  animalsHunted: B med/mean 3/3.33; C 4/4.33; paired Δ med/mean +1/+1 (3 pairs)
  animalAttacks: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  wildlifePopulation: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  predictionAccuracy: B med/mean 25.71/33.01; C 23.33/26.12; paired Δ med/mean -5.71/-6.89 (3 pairs)
  dehydrationHibernations: B med/mean 48/44.33; C 43/44.67; paired Δ med/mean 0/+0.33 (3 pairs)
  assistedDependentHibernations: B med/mean 9/8; C 7/8; paired Δ med/mean +2/0 (3 pairs)
  throughMonth: B med/mean 240/240; C 240/240; paired Δ med/mean 0/0 (3 pairs)
  initialPopulation: B med/mean 7/6.67; C 7/6.67; paired Δ med/mean 0/0 (3 pairs)
  completeRecordUseChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectCompletionChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  completeTechniqueLearningProjectProgressChains: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  correctPredictions: B med/mean 9/9.33; C 7/6.67; paired Δ med/mean -2/-2.67 (3 pairs)
  dropDemandActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandBalanceMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 97/90.33; C 100/101; paired Δ med/mean +8/+10.67 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 90/83.67; C 94/96.33; paired Δ med/mean +11/+12.67 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 97/90.33; C 100/101; paired Δ med/mean +8/+10.67 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 63/63; C 106/111.33; paired Δ med/mean +50/+48.33 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 63/63; C 106/111.33; paired Δ med/mean +50/+48.33 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 63/63; C 106/111.33; paired Δ med/mean +50/+48.33 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 63/63; C 106/111.33; paired Δ med/mean +50/+48.33 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 22/21.67; C 33/31.33; paired Δ med/mean +10/+9.67 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 274/308.33; C 532/519.67; paired Δ med/mean +201/+211.33 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 274/308.33; C 532/519.67; paired Δ med/mean +201/+211.33 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 274/308.33; C 532/519.67; paired Δ med/mean +201/+211.33 (3 pairs)
  hypothesisCombineAttempts: B med/mean 44/43; C 82/80.33; paired Δ med/mean +38/+37.33 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 38/38.33; C 73/71.67; paired Δ med/mean +33/+33.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 5/4.67; C 9/8.67; paired Δ med/mean +3/+4 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 0/0.33; C 1/2.67; paired Δ med/mean 0/+2.33 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 2/1.67; C 3/6; paired Δ med/mean 0/+4.33 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 0/0.33; C 1/2.67; paired Δ med/mean 0/+2.33 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 44/42.67; C 82/77.67; paired Δ med/mean +34/+35 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 134/143.67; C 300/283.33; paired Δ med/mean +124/+139.67 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 38/38; C 73/69; paired Δ med/mean +32/+31 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 5/4.67; C 9/8.67; paired Δ med/mean +3/+4 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 0/0.67; C 1/1; paired Δ med/mean +1/+0.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 6/4.67; C 7/7.33; paired Δ med/mean +3/+2.67 (3 pairs)
  hypothesisExertAttempts: B med/mean 14/13; C 17/18; paired Δ med/mean +3/+5 (3 pairs)
  hypothesisExertNoResponses: B med/mean 11/10.33; C 15/15.33; paired Δ med/mean +4/+5 (3 pairs)
  hypothesisExertResponses: B med/mean 3/2.67; C 2/2.67; paired Δ med/mean -1/0 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 3/3.33; C 5/4.67; paired Δ med/mean +2/+1.33 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 10/11; C 22/22; paired Δ med/mean +11/+11 (3 pairs)
  hypothesisExposeAttempts: B med/mean 6/7; C 17/13; paired Δ med/mean +12/+6 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 1/1.67; C 13/10.67; paired Δ med/mean +13/+9 (3 pairs)
  hypothesisExposeResponses: B med/mean 5/5.33; C 2/2.33; paired Δ med/mean -4/-3 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 14/14.33; C 28/26.67; paired Δ med/mean +12/+12.33 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 6/5.67; C 3/3.33; paired Δ med/mean -1/-2.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 48/50.33; C 95/97.67; paired Δ med/mean +45/+47.33 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 9/7.33; C 11/10; paired Δ med/mean +2/+2.67 (3 pairs)
  hypothesisResponses: B med/mean 13/12.67; C 13/13.67; paired Δ med/mean -2/+1 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 10/9.67; C 14/14.67; paired Δ med/mean +3/+5 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 96/94.33; C 143/145.33; paired Δ med/mean +47/+51 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 8/7.67; C 13/12.67; paired Δ med/mean +4/+5 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 2/2; C 2/2; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 3/3.33; C 3/3.33; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 14/28.67; C 36/32; paired Δ med/mean +10/+3.33 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 2/2.67; C 2/2.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 6/7; C 17/13; paired Δ med/mean +12/+6 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 40/40; C 64/53; paired Δ med/mean +25/+13 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 1/1.67; C 13/10.67; paired Δ med/mean +13/+9 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 5/5.33; C 2/2.33; paired Δ med/mean -4/-3 (3 pairs)
  hypothesisUniquePairs: B med/mean 42/40.33; C 74/71.33; paired Δ med/mean +35/+31 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 42/40.33; C 74/71.33; paired Δ med/mean +35/+31 (3 pairs)
