Paired evolution matrix comparison
Baseline: v35-control-no-conversation (3 runs)
Candidate: v35d-grounded-conversation (3 runs)
Matched by seed+years+repeat: 3; unmatched B/C: 0/0
Configuration: matched
Civilization index: declared-same; Both artifacts declare the same civilization-index formula version.

20 years (3 matched pairs)
Engine-comparable numeric metrics:
  finalPopulation: B med/mean 10/10.33; C 11/11; paired Δ med/mean 0/+0.67 (3 pairs)
  dropDemandMaterialMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandNonPositiveOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedExceedsOutstanding: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandRequestedQuantity: B med/mean 98/98; C 100/101; paired Δ med/mean +7/+3 (3 pairs)
  dropDemandStartingAtOrAboveRequired: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandStartingQuantityMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferExceedsRequested: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropDemandTransferQuantity: B med/mean 92/91; C 94/96.33; paired Δ med/mean +9/+5.33 (3 pairs)
  dropDemandUnresolvedActionEvents: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  dropEpisodesWithMaterialDemand: B med/mean 98/98; C 100/101; paired Δ med/mean +7/+3 (3 pairs)
  generationGtZeroCausalReliableLearners: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffOutcomeMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffPairMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffSignatureMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActionDiffsWithEntityRoleBasis: B med/mean 102/96.33; C 106/111.33; paired Δ med/mean +3/+15 (3 pairs)
  hypothesisActionMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisActorMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptOrdinalMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttempts: B med/mean 102/96.33; C 106/111.33; paired Δ med/mean +3/+15 (3 pairs)
  hypothesisAttemptsMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisAttemptsWithEntityRoleBasis: B med/mean 102/96.33; C 106/111.33; paired Δ med/mean +3/+15 (3 pairs)
  hypothesisAttemptsWithRoleBasis: B med/mean 102/96.33; C 106/111.33; paired Δ med/mean +3/+15 (3 pairs)
  hypothesisBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaignMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCampaigns: B med/mean 27/28.33; C 33/31.33; paired Δ med/mean +1/+3 (3 pairs)
  hypothesisCandidateAttemptRoleBasisMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateEntityRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidateRoleBasisCoverage: B med/mean 100/100; C 100/100; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidates: B med/mean 404/423.33; C 532/519.67; paired Δ med/mean +71/+96.33 (3 pairs)
  hypothesisCandidatesMissingQuestionKind: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesMissingRoleBasis: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisCandidatesWithEntityRoleBasis: B med/mean 404/423.33; C 532/519.67; paired Δ med/mean +71/+96.33 (3 pairs)
  hypothesisCandidatesWithRoleBasis: B med/mean 404/423.33; C 532/519.67; paired Δ med/mean +71/+96.33 (3 pairs)
  hypothesisCombineAttempts: B med/mean 74/71.67; C 82/80.33; paired Δ med/mean -5/+8.67 (3 pairs)
  hypothesisCombineNoResponses: B med/mean 65/62.33; C 73/71.67; paired Δ med/mean -3/+9.33 (3 pairs)
  hypothesisCombineResponses: B med/mean 9/9.33; C 9/8.67; paired Δ med/mean -2/-0.67 (3 pairs)
  hypothesisConnectFlexibleLayersAttempts: B med/mean 1/2.67; C 1/2.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersCandidates: B med/mean 3/6; C 3/6; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersNoResponses: B med/mean 1/2.67; C 1/2.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectFlexibleLayersResponses: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisConnectManipulatorShapesAttempts: B med/mean 73/69; C 82/77.67; paired Δ med/mean -5/+8.67 (3 pairs)
  hypothesisConnectManipulatorShapesCandidates: B med/mean 246/250.33; C 300/283.33; paired Δ med/mean -6/+33 (3 pairs)
  hypothesisConnectManipulatorShapesNoResponses: B med/mean 64/59.67; C 73/69; paired Δ med/mean -3/+9.33 (3 pairs)
  hypothesisConnectManipulatorShapesResponses: B med/mean 9/9.33; C 9/8.67; paired Δ med/mean -2/-0.67 (3 pairs)
  hypothesisDuplicateProjectPairs: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisDuplicateProjectSignatures: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisExactEntityVerifiedResponseInputAttempts: B med/mean 3/2.33; C 1/1; paired Δ med/mean -2/-1.33 (3 pairs)
  hypothesisExactEntityVerifiedResponseToolAttempts: B med/mean 8/7.33; C 7/7.33; paired Δ med/mean +1/0 (3 pairs)
  hypothesisExertAttempts: B med/mean 14/13; C 17/18; paired Δ med/mean +3/+5 (3 pairs)
  hypothesisExertNoResponses: B med/mean 13/11; C 15/15.33; paired Δ med/mean +2/+4.33 (3 pairs)
  hypothesisExertResponses: B med/mean 1/2; C 2/2.67; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisExertVerifiedResponseInputAttempts: B med/mean 0/0.33; C 1/0.67; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExertVerifiedResponseToolAttempts: B med/mean 4/4.33; C 5/4.67; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisExhaustedCampaigns: B med/mean 21/18.33; C 22/22; paired Δ med/mean +1/+3.67 (3 pairs)
  hypothesisExposeAttempts: B med/mean 13/11.67; C 17/13; paired Δ med/mean +4/+1.33 (3 pairs)
  hypothesisExposeNoResponses: B med/mean 11/8.33; C 13/10.67; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisExposeResponses: B med/mean 2/3.33; C 2/2.33; paired Δ med/mean +1/-1 (3 pairs)
  hypothesisFirstAttemptNoResponses: B med/mean 26/21.33; C 28/26.67; paired Δ med/mean +1/+5.33 (3 pairs)
  hypothesisFirstAttemptResponses: B med/mean 9/6.67; C 3/3.33; paired Δ med/mean -4/-3.33 (3 pairs)
  hypothesisMaterialOnlyVerifiedResponseAttributionViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisMissingSourceKeys: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNonFiniteRoleScores: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisNoResponses: B med/mean 92/81.67; C 95/97.67; paired Δ med/mean +3/+16 (3 pairs)
  hypothesisOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisProjectMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisQuestionOperationMismatches: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableKnowledgeViolations: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisReliableNoResponseExcessAttempts: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisResponseDrivenTransitions: B med/mean 11/10.67; C 11/10; paired Δ med/mean 0/-0.67 (3 pairs)
  hypothesisResponses: B med/mean 16/14.67; C 13/13.67; paired Δ med/mean 0/-1 (3 pairs)
  hypothesisSeekLocalHeatAttempts: B med/mean 10/10; C 14/14.67; paired Δ med/mean +4/+4.67 (3 pairs)
  hypothesisSeekLocalHeatCandidates: B med/mean 84/95; C 143/145.33; paired Δ med/mean +59/+50.33 (3 pairs)
  hypothesisSeekLocalHeatNoResponses: B med/mean 10/8.67; C 13/12.67; paired Δ med/mean +3/+4 (3 pairs)
  hypothesisSeekLocalHeatResponses: B med/mean 1/1.33; C 2/2; paired Δ med/mean +1/+0.67 (3 pairs)
  hypothesisShapePortableSurfaceAttempts: B med/mean 3/3; C 3/3.33; paired Δ med/mean 0/+0.33 (3 pairs)
  hypothesisShapePortableSurfaceCandidates: B med/mean 18/23; C 36/32; paired Δ med/mean +6/+9 (3 pairs)
  hypothesisShapePortableSurfaceNoResponses: B med/mean 3/2.33; C 2/2.67; paired Δ med/mean -1/+0.33 (3 pairs)
  hypothesisShapePortableSurfaceResponses: B med/mean 1/0.67; C 1/0.67; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTotalBudgetExceeds: B med/mean 0/0; C 0/0; paired Δ med/mean 0/0 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatAttempts: B med/mean 13/11.67; C 17/13; paired Δ med/mean +4/+1.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatCandidates: B med/mean 53/49; C 64/53; paired Δ med/mean +12/+4 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatNoResponses: B med/mean 11/8.33; C 13/10.67; paired Δ med/mean +2/+2.33 (3 pairs)
  hypothesisTransformSubjectWithObservedHeatResponses: B med/mean 2/3.33; C 2/2.33; paired Δ med/mean +1/-1 (3 pairs)
  hypothesisUniquePairs: B med/mean 61/61; C 74/71.33; paired Δ med/mean +13/+10.33 (3 pairs)
  hypothesisUniqueSignatures: B med/mean 61/61; C 74/71.33; paired Δ med/mean +13/+10.33 (3 pairs)
